Source,Target
Action,Chris Pratt
Action,Vin Diesel
Action,Bradley Cooper
Action,Zoe Saldana
Action,Prabhas
Action,Rana Daggubati
Action,Anushka Shetty
Action,Tamannaah Bhatia
Action,Johnny Depp
Action,Pen�lope Cruz
Action,Ian McShane
Action,Geoffrey Rush
Action,Daisy Ridley
Action,John Boyega
Action,Oscar Isaac
Action,Domhnall Gleeson
Action,Keanu Reeves
Action,Michael Nyqvist
Action,Alfie Allen
Action,Willem Dafoe
Action,Christian Bale
Action,Heath Ledger
Action,Aaron Eckhart
Action,Michael Caine
Action,Colin Firth
Action,Taron Egerton
Action,Samuel L. Jackson
Action,Michael Caine
Action,Tom Hardy
Action,Charlize Theron
Action,Nicholas Hoult
Action,Zo��_��_ Kravitz
Action,Johnny Depp
Action,Orlando Bloom
Action,Keira Knightley
Action,Geoffrey Rush
Action,Robert Downey Jr.
Action,Chris Evans
Action,Scarlett Johansson
Action,Jeremy Renner
Action,Johnny Depp
Action,Orlando Bloom
Action,Keira Knightley
Action,Jack Davenport
Action,Leonardo DiCaprio
Action,Joseph Gordon-Levitt
Action,Ellen Page
Action,Ken Watanabe
Action,Vin Diesel
Action,Paul Walker
Action,Dwayne Johnson
Action,Jason Statham
Action,Chris Pratt
Action,Bryce Dallas Howard
Action,Ty Simpkins
Action,Judy Greer
Action,Sam Worthington
Action,Zoe Saldana
Action,Sigourney Weaver
Action,Michelle Rodriguez
Action,Robert Downey Jr.
Action,Chris Evans
Action,Mark Ruffalo
Action,Chris Hemsworth
Action,Chris Hemsworth
Action,Anthony Hopkins
Action,Natalie Portman
Action,Tom Hiddleston
Action,Henry Cavill
Action,Armie Hammer
Action,Alicia Vikander
Action,Elizabeth Debicki
Action,Gerard Butler
Action,Lena Headey
Action,David Wenham
Action,Dominic West
Action,Christian Bale
Action,Tom Hardy
Action,Anne Hathaway
Action,Gary Oldman
Action,Mark Wahlberg
Action,Nicola Peltz
Action,Jack Reynor
Action,Stanley Tucci
Action,Vin Diesel
Action,Paul Walker
Action,Dwayne Johnson
Action,Michelle Rodriguez
Action,Chris Pine
Action,Zachary Quinto
Action,Simon Pegg
Action,Leonard Nimoy
Action,Jackie Earle Haley
Action,Patrick Wilson
Action,Carla Gugino
Action,Malin Akerman
Action,Emily Blunt
Action,Josh Brolin
Action,Benicio Del Toro
Action,Jon Bernthal
Action,Reiko Aylesworth
Action,Steven Pasquale
Action,Shareeka Epps
Action,John Ortiz
Action,Idris Elba
Action,Charlie Hunnam
Action,Rinko Kikuchi
Action,Charlie Day
Action,Michael Cera
Action,Mary Elizabeth Winstead
Action,Kieran Culkin
Action,Alison Pill
Action,Simon Pegg
Action,Nick Frost
Action,Martin Freeman
Action,Bill Nighy
Action,Patrick Stewart
Action,Ian McKellen
Action,Hugh Jackman
Action,James McAvoy
Action,Daniel Craig
Action,Eva Green
Action,Judi Dench
Action,Jeffrey Wright
Action,Daniel Craig
Action,Christoph Waltz
Action,L�a Seydoux
Action,Ralph Fiennes
Action,George Clooney
Action,Britt Robertson
Action,Hugh Laurie
Action,Raffey Cassidy
Action,Gary Oldman
Action,Keri Russell
Action,Andy Serkis
Action,Kodi Smit-McPhee
Action,Ben Stiller
Action,Jack Black
Action,Robert Downey Jr.
Action,Jeff Kahn
Action,Paul Rudd
Action,Michael Douglas
Action,Corey Stoll
Action,Evangeline Lilly
Action,Tom Hardy
Action,Nick Nolte
Action,Joel Edgerton
Action,Jennifer Morrison
Action,Chris Evans
Action,Hugo Weaving
Action,Samuel L. Jackson
Action,Hayley Atwell
Action,Tom Cruise
Action,Emily Blunt
Action,Bill Paxton
Action,Brendan Gleeson
Action,Robert Downey Jr.
Action,Gwyneth Paltrow
Action,Terrence Howard
Action,Jeff Bridges
Action,James McAvoy
Action,Michael Fassbender
Action,Jennifer Lawrence
Action,Kevin Bacon
Action,Dwayne Johnson
Action,Carla Gugino
Action,Alexandra Daddario
Action,Colton Haynes
Action,Shia LaBeouf
Action,Megan Fox
Action,Josh Duhamel
Action,Tyrese Gibson
Action,Josh Brolin
Action,Elizabeth Olsen
Action,Samuel L. Jackson
Action,Sharlto Copley
Action,Chris Hemsworth
Action,Natalie Portman
Action,Tom Hiddleston
Action,Stellan Skarsg�rd
Action,Chris Evans
Action,Samuel L. Jackson
Action,Scarlett Johansson
Action,Robert Redford
Action,Aaron Taylor-Johnson
Action,Nicolas Cage
Action,Chlo��_��_ Grace Moretz
Action,Garrett M. Brown
Action,Sharlto Copley
Action,Tim Roth
Action,Haley Bennett
Action,Danila Kozlovsky
Action,Adrien Brody
Action,Laurence Fishburne
Action,Topher Grace
Action,Alice Braga
Action,Angelina Jolie
Action,Elle Fanning
Action,Sharlto Copley
Action,Lesley Manville
Action,Gerardo Taracena
Action,Raoul Max Trujillo
Action,Dalia Hern��_��_ndez
Action,Rudy Youngblood
Action,Tom Cruise
Action,Rebecca Ferguson
Action,Jeremy Renner
Action,Simon Pegg
Action,Saoirse Ronan
Action,Max Irons
Action,Jake Abel
Action,Diane Kruger
Action,Brad Pitt
Action,Shia LaBeouf
Action,Logan Lerman
Action,Michael Pe�a
Action,Arnold Schwarzenegger
Action,Jason Clarke
Action,Emilia Clarke
Action,Jai Courtney
Action,Melissa McCarthy
Action,Rose Byrne
Action,Jude Law
Action,Jason Statham
Action,Andrew Garfield
Action,Emma Stone
Action,Jamie Foxx
Action,Paul Giamatti
Action,Alexander Skarsg�rd
Action,Brooklyn Decker
Action,Liam Neeson
Action,Rihanna
Action,James Franco
Action,Andy Serkis
Action,Freida Pinto
Action,Karin Konoval
Action,Hugh Jackman
Action,Liev Schreiber
Action,Ryan Reynolds
Action,Danny Huston
Action,Daniel Craig
Action,Javier Bardem
Action,Naomie Harris
Action,Judi Dench
Action,Jonah Hill
Action,Channing Tatum
Action,Ice Cube
Action,Brie Larson
Action,Tom Cruise
Action,Morgan Freeman
Action,Andrea Riseborough
Action,Olga Kurylenko
Action,Channing Tatum
Action,Jonah Hill
Action,Ice Cube
Action,Nick Offerman
Action,Robert Downey Jr.
Action,Guy Pearce
Action,Gwyneth Paltrow
Action,Don Cheadle
Action,Robert Downey Jr.
Action,Jude Law
Action,Rachel McAdams
Action,Mark Strong
Action,Dwayne Johnson
Action,John Hurt
Action,Ian McShane
Action,Joseph Fiennes
Action,Emily Browning
Action,Vanessa Hudgens
Action,Abbie Cornish
Action,Jena Malone
Action,Channing Tatum
Action,Mila Kunis
Action,Eddie Redmayne
Action,Sean Bean
Action,Henry Cavill
Action,Amy Adams
Action,Michael Shannon
Action,Diane Lane
Action,Denzel Washington
Action,Marton Csokas
Action,Chlo��_��_ Grace Moretz
Action,David Harbour
Action,Mark Wahlberg
Action,Taylor Kitsch
Action,Emile Hirsch
Action,Ben Foster
Action,Lucas Black
Action,Zachery Ty Bryan
Action,Shad Moss
Action,Damien Marzette
Action,Chris Evans
Action,Jamie Bell
Action,Tilda Swinton
Action,Ed Harris
Action,Vin Diesel
Action,Paul Walker
Action,Dwayne Johnson
Action,Jordana Brewster
Action,Gerard Butler
Action,Tom Wilkinson
Action,Idris Elba
Action,Thandie Newton
Action,Justin Timberlake
Action,Amanda Seyfried
Action,Cillian Murphy
Action,Olivia Wilde
Action,Vin Diesel
Action,Rose Leslie
Action,Elijah Wood
Action,��_��_lafur Darri ��_��_lafsson
Action,Bradley Cooper
Action,Sienna Miller
Action,Kyle Gallner
Action,Cole Konis
Action,Daniel Br��__hl
Action,Chris Hemsworth
Action,Olivia Wilde
Action,Alexandra Maria Lara
Action,Vin Diesel
Action,Paul Walker
Action,Michelle Rodriguez
Action,Jordana Brewster
Action,Joseph Gordon-Levitt
Action,Bruce Willis
Action,Emily Blunt
Action,Paul Dano
Action,Channing Tatum
Action,Jamie Foxx
Action,Maggie Gyllenhaal
Action,Jason Clarke
Action,Tobey Maguire
Action,Kirsten Dunst
