Source,Target
Johnny Depp,Christian Stolte
Johnny Depp,Jason Clarke
Johnny Depp,Michelle Pfeiffer
Johnny Depp,Eva Green
Johnny Depp,Helena Bonham Carter
Johnny Depp,Rebecca Hall
Johnny Depp,Morgan Freeman
Johnny Depp,Cillian Murphy
Johnny Depp,Armie Hammer
Johnny Depp,William Fichtner
Johnny Depp,Tom Wilkinson
Pen̩lope Cruz,Ian McShane
Pen̩lope Cruz,Geoffrey Rush
Pen̩lope Cruz,Cameron Diaz
Pen̩lope Cruz,Javier Bardem
Pen̩lope Cruz,Jesse Eisenberg
Pen̩lope Cruz,Ellen Page
Ian McShane,Geoffrey Rush
Ian McShane,Joseph Fiennes
Ian McShane,Angelina Jolie
Ian McShane,Dustin Hoffman
Geoffrey Rush,Nicholas Hope
Geoffrey Rush,Sam Neill
Geoffrey Rush,Ewen Leslie
Geoffrey Rush,Helena Bonham Carter
Geoffrey Rush,Derek Jacobi
Geoffrey Rush,Jim Sturgess
Geoffrey Rush,Sylvia Hoeks
Geoffrey Rush,Donald Sutherland
Daisy Ridley,John Boyega
Daisy Ridley,Oscar Isaac
Daisy Ridley,Domhnall Gleeson
John Boyega,Oscar Isaac
John Boyega,Domhnall Gleeson
Oscar Isaac,Domhnall Gleeson
Oscar Isaac,Domhnall Gleeson
Oscar Isaac,Sonoya Mizuno
Domhnall Gleeson,Sonoya Mizuno
Domhnall Gleeson,Rachel McAdams
Domhnall Gleeson,Bill Nighy
Domhnall Gleeson,Lydia Wilson
Domhnall Gleeson,Jim Broadbent
Domhnall Gleeson,Garrett Hedlund
Keanu Reeves,Michael Nyqvist
Keanu Reeves,Alfie Allen
Keanu Reeves,Willem Dafoe
Keanu Reeves,Lorenza Izzo
Keanu Reeves,Ana de Armas
Keanu Reeves,Aaron Burns
Michael Nyqvist,Alfie Allen
Michael Nyqvist,Willem Dafoe
Michael Nyqvist,Richenda Carey
Michael Nyqvist,Noomi Rapace
Michael Nyqvist,Ewa Fr̦ling
Michael Nyqvist,Lena Endre
Alfie Allen,Willem Dafoe
Willem Dafoe,Samantha Morton
Willem Dafoe,Charlotte Gainsbourg
Willem Dafoe,Storm Acheche Sahlstr��m
Willem Dafoe,Charlotte Gainsbourg
Willem Dafoe,Jamie Bell
Christian Bale,Heath Ledger
Christian Bale,Aaron Eckhart
Christian Bale,Michael Caine
Christian Bale,Hugh Jackman
Christian Bale,Scarlett Johansson
Christian Bale,Michael Caine
Christian Bale,Tom Hardy
Christian Bale,Anne Hathaway
Christian Bale,Gary Oldman
Christian Bale,Steve Carell
Christian Bale,Ryan Gosling
Christian Bale,Brad Pitt
Christian Bale,Amy Adams
Christian Bale,Bradley Cooper
Christian Bale,Jennifer Lawrence
Christian Bale,Joel Edgerton
Christian Bale,Ben Kingsley
Christian Bale,Sigourney Weaver
Christian Bale,Johnny Depp
Christian Bale,Christian Stolte
Christian Bale,Jason Clarke
Christian Bale,Cate Blanchett
Christian Bale,Natalie Portman
Christian Bale,Brian Dennehy
Christian Bale,Amy Adams
Christian Bale,Melissa Leo
Christian Bale,Steve Zahn
Christian Bale,Jeremy Davies
Christian Bale,Zach Grenier
Christian Bale,Casey Affleck
Christian Bale,Zoe Saldana
Christian Bale,Woody Harrelson
Christian Bale,Sam Worthington
Christian Bale,Anton Yelchin
Christian Bale,Moon Bloodgood
Heath Ledger,Aaron Eckhart
Heath Ledger,Michael Caine
Heath Ledger,Andrew Garfield
Aaron Eckhart,Michael Caine
Aaron Eckhart,Morgan Freeman
Aaron Eckhart,Angela Bassett
Michael Caine,Harvey Keitel
Michael Caine,Rachel Weisz
Michael Caine,Jane Fonda
Michael Caine,Emily Mortimer
Dakota Johnson,Jamie Dornan
Dakota Johnson,Jennifer Ehle
Dakota Johnson,Eloise Mumford
Dakota Johnson,Joel Edgerton
Jamie Dornan,Jennifer Ehle
Jamie Dornan,Eloise Mumford
Jennifer Ehle,Eloise Mumford
Hugh Jackman,Scarlett Johansson
Hugh Jackman,Michael Caine
Hugh Jackman,Jake Gyllenhaal
Hugh Jackman,Viola Davis
Hugh Jackman,Melissa Leo
Hugh Jackman,James McAvoy
Hugh Jackman,Russell Crowe
Hugh Jackman,Anne Hathaway
