Source,Target
Allegiant,Jeff Daniels
Allegiant,Naomi Watts
Allied,Brad Pitt
Allied,Marion Cotillard
Allied,Jared Harris
Allied,Vincent Ebrahim
Amateur Night,Jason Biggs
Amateur Night,Janet Montgomery
Amateur Night,Ashley Tisdale
Amateur Night,Bria L. Murphy
American Gangster,Denzel Washington
American Gangster,Russell Crowe
American Gangster,Chiwetel Ejiofor
American Gangster,Josh Brolin
American Honey,Sasha Lane
American Honey,Shia LaBeouf
American Honey,Riley Keough
American Honey,McCaul Lombardi
American Hustle,Christian Bale
American Hustle,Amy Adams
American Hustle,Bradley Cooper
American Hustle,Jennifer Lawrence
American Pastoral,Ewan McGregor
American Pastoral,Jennifer Connelly
American Pastoral,Dakota Fanning
American Pastoral,Peter Riegert
American Reunion,Jason Biggs
American Reunion,Alyson Hannigan
American Reunion,Seann William Scott
American Reunion,Chris Klein
American Sniper,Bradley Cooper
American Sniper,Sienna Miller
American Sniper,Kyle Gallner
American Sniper,Cole Konis
American Wrestler: The Wizard,William Fichtner
American Wrestler: The Wizard,Jon Voight
American Wrestler: The Wizard,Lia Marie Johnson
American Wrestler: The Wizard,Gabriel Basso
Angry Birds,Jason Sudeikis
Angry Birds,Josh Gad
Angry Birds,Danny McBride
Angry Birds,Maya Rudolph
Anna Karenina,Keira Knightley
Anna Karenina,Jude Law
Anna Karenina,Aaron Taylor-Johnson
Anna Karenina,Matthew Macfadyen
Annabelle,Ward Horton
Annabelle,Annabelle Wallis
Annabelle,Alfre Woodard
Annabelle,Tony Amendola
Annie,Quvenzhan̩ Wallis
Annie,Cameron Diaz
Annie,Jamie Foxx
Annie,Rose Byrne
Ant-Man,Paul Rudd
Ant-Man,Michael Douglas
Ant-Man,Corey Stoll
Ant-Man,Evangeline Lilly
Anthropoid,Jamie Dornan
Anthropoid,Cillian Murphy
Anthropoid,Brian Caspe
Anthropoid,Karel Herm��nek Jr.
Antichrist,Willem Dafoe
Antichrist,Charlotte Gainsbourg
Antichrist,Storm Acheche Sahlstr��m
Apocalypto,Gerardo Taracena
Apocalypto,Raoul Max Trujillo
Apocalypto,Dalia Hern��ndez
Apocalypto,Rudy Youngblood
Argo,Ben Affleck
Argo,Bryan Cranston
Argo,John Goodman
Argo,Alan Arkin
Arrival,Amy Adams
Arrival,Jeremy Renner
Arrival,Forest Whitaker
Arrival,Michael Stuhlbarg
Assassin's Creed,Michael Fassbender
Assassin's Creed,Marion Cotillard
Assassin's Creed,Jeremy Irons
Assassin's Creed,Brendan Gleeson
Atonement,Keira Knightley
Atonement,James McAvoy
Atonement,Brenda Blethyn
Atonement,Saoirse Ronan
August Rush,Freddie Highmore
August Rush,Keri Russell
August Rush,Jonathan Rhys Meyers
August Rush,Terrence Howard
Australia,Nicole Kidman
Australia,Hugh Jackman
Australia,Shea Adams
Australia,Eddie Baroo
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Avatar,Michelle Rodriguez
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Age of Ultron,Chris Evans
Avengers: Age of Ultron,Mark Ruffalo
Avengers: Age of Ultron,Chris Hemsworth
Babel,Brad Pitt
Babel,Cate Blanchett
Babel,Gael Garc�_a Bernal
Babel,Mohamed Akhzam
Bacalaureat,Adrian Titieni
Bacalaureat,Maria-Victoria Dragus
Bacalaureat,Lia Bugnar
Bacalaureat,Malina Manovici
Bad Moms,Mila Kunis
Bad Moms,Kathryn Hahn
Bad Moms,Kristen Bell
Bad Moms,Christina Applegate
Bahubali: The Beginning,Prabhas
Bahubali: The Beginning,Rana Daggubati
Bahubali: The Beginning,Anushka Shetty
Bahubali: The Beginning,Tamannaah Bhatia
Ballerina,Elle Fanning
Ballerina,Dane DeHaan
Ballerina,Carly Rae Jepsen
Ballerina,Maddie Ziegler
Barbershop: The Next Cut,Ice Cube
Barbershop: The Next Cut,Regina Hall
Barbershop: The Next Cut,Anthony Anderson
Barbershop: The Next Cut,Eve
Bastille Day,Idris Elba
Bastille Day,Richard Madden
Bastille Day,Charlotte Le Bon
Bastille Day,Kelly Reilly
Batman v Superman: Dawn of Justice,Ben Affleck
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Amy Adams
Batman v Superman: Dawn of Justice,Jesse Eisenberg
Battleship,Alexander Skarsg̴rd
Battleship,Brooklyn Decker
Battleship,Liam Neeson
Battleship,Rihanna
Beautiful Creatures,Alice Englert
Beautiful Creatures,Viola Davis
Beautiful Creatures,Emma Thompson
Beautiful Creatures,Alden Ehrenreich
Before I Wake,Kate Bosworth
Before I Wake,Thomas Jane
Before I Wake,Jacob Tremblay
Before I Wake,Annabeth Gish
Before We Go,Chris Evans
Before We Go,Alice Eve
Before We Go,Emma Fitzpatrick
Before We Go,John Cullum
Begin Again,Keira Knightley
Begin Again,Mark Ruffalo
Begin Again,Adam Levine
Begin Again,Hailee Steinfeld
Below Her Mouth,Erika Linder
Below Her Mouth,Natalie Krill
Below Her Mouth,Sebastian Pigott
Below Her Mouth,Mayko Nguyen
Ben-Hur,Jack Huston
Ben-Hur,Toby Kebbell
Ben-Hur,Rodrigo Santoro
Ben-Hur,Nazanin Boniadi
Beowulf,Ray Winstone
Beowulf,Crispin Glover
Beowulf,Angelina Jolie
Beowulf,Robin Wright
Beyond the Gates,Graham Skipper
Beyond the Gates,Chase Williamson
Beyond the Gates,Brea Grant
Beyond the Gates,Barbara Crampton
Big Hero 6,Ryan Potter
Big Hero 6,Scott Adsit
Big Hero 6,Jamie Chung
Big Hero 6,T.J. Miller
Billy Lynn's Long Halftime Walk,Joe Alwyn
Billy Lynn's Long Halftime Walk,Garrett Hedlund
Billy Lynn's Long Halftime Walk,Arturo Castro
Billy Lynn's Long Halftime Walk,Mason Lee
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
Birdman or (The Unexpected Virtue of Ignorance),Zach Galifianakis
Birdman or (The Unexpected Virtue of Ignorance),Edward Norton
Birdman or (The Unexpected Virtue of Ignorance),Andrea Riseborough
Birth of the Dragon,Billy Magnussen
Birth of the Dragon,Terry Chen
Birth of the Dragon,Teresa Navarro
Birth of the Dragon,Vanessa Ross
Black Mass,Johnny Depp
Black Mass,Benedict Cumberbatch
Black Mass,Dakota Johnson
Black Mass,Joel Edgerton
Black Swan,Natalie Portman
Black Swan,Mila Kunis
Black Swan,Vincent Cassel
Black Swan,Winona Ryder
Blackhat,Chris Hemsworth
Blackhat,Viola Davis
Blackhat,Wei Tang
Blackhat,Leehom Wang
Blair Witch,James Allen McCune
Blair Witch,Callie Hernandez
Blair Witch,Corbin Reid
Blair Witch,Brandon Scott
Bleed for This,Miles Teller
Bleed for This,Aaron Eckhart
Bleed for This,Katey Sagal
Bleed for This,Ciar��n Hinds
Blended,Adam Sandler
Blended,Drew Barrymore
Blended,Wendi McLendon-Covey
Blended,Kevin Nealon
Blood Diamond,Leonardo DiCaprio
Blood Diamond,Djimon Hounsou
Blood Diamond,Jennifer Connelly
Blood Diamond,Kagiso Kuypers
Blood Father,Mel Gibson
Blood Father,Erin Moriarty
Blood Father,Diego Luna
Blood Father,Michael Parks
Blue Jasmine,Cate Blanchett
Blue Jasmine,Alec Baldwin
Blue Jasmine,Peter Sarsgaard
Blue Jasmine,Sally Hawkins
Blue Valentine,Ryan Gosling
Blue Valentine,Michelle Williams
Blue Valentine,John Doman
Blue Valentine,Faith Wladyka
Body of Lies,Leonardo DiCaprio
Body of Lies,Russell Crowe
Body of Lies,Mark Strong
Body of Lies,Golshifteh Farahani
Bone Tomahawk,Kurt Russell
Bone Tomahawk,Patrick Wilson
Bone Tomahawk,Matthew Fox
Bone Tomahawk,Richard Jenkins
Bonjour Anne,Diane Lane
Bonjour Anne,Alec Baldwin
Bonjour Anne,Arnaud Viard
Bonjour Anne,Linda Gegusch
Boyhood,Ellar Coltrane
Boyhood,Patricia Arquette
Boyhood,Ethan Hawke
Boyhood,Elijah Smith
Boyka: Undisputed IV,Scott Adkins
Boyka: Undisputed IV,Teodora Duhovnikova
Boyka: Undisputed IV,Alon Aboutboul
Boyka: Undisputed IV,Julian Vergov
Brave,Kelly Macdonald
Brave,Billy Connolly
Brave,Emma Thompson
Brave,Julie Walters
Bride Wars,Kate Hudson
Bride Wars,Anne Hathaway
Bride Wars,Candice Bergen
Bride Wars,Bryan Greenberg
Bridesmaids,Kristen Wiig
Bridesmaids,Maya Rudolph
Bridesmaids,Rose Byrne
Bridesmaids,Terry Crews
Bridge of Spies,Tom Hanks
Bridge of Spies,Mark Rylance
Bridge of Spies,Alan Alda
Bridge of Spies,Amy Ryan
Bridge to Terabithia,Josh Hutcherson
Bridge to Terabithia,AnnaSophia Robb
Bridge to Terabithia,Zooey Deschanel
Bridge to Terabithia,Robert Patrick
Bridget Jones's Baby,Ren̩e Zellweger
Bridget Jones's Baby,Gemma Jones
Bridget Jones's Baby,Jim Broadbent
Bridget Jones's Baby,Sally Phillips
Brimstone,Dakota Fanning
Brimstone,Guy Pearce
Brimstone,Kit Harington
Brimstone,Carice van Houten
Bronson,Tom Hardy
Bronson,Kelly Adams
Bronson,Luing Andrews
Bronson,Katy Barker
Brooklyn,Saoirse Ronan
Brooklyn,Emory Cohen
Brooklyn,Domhnall Gleeson
Brooklyn,Jim Broadbent
Burnt,Bradley Cooper
Burnt,Sienna Miller
Burnt,Daniel Br�_hl
Burnt,Riccardo Scamarcio
Busanhaeng,Yoo Gong
Busanhaeng,Soo-an Kim
Busanhaeng,Yu-mi Jung
Busanhaeng,Dong-seok Ma
Caf̩ Society,Jesse Eisenberg
Caf̩ Society,Kristen Stewart
Caf̩ Society,Steve Carell
Caf̩ Society,Blake Lively
Captain America: Civil War,Chris Evans
Captain America: Civil War,Robert Downey Jr.
Captain America: Civil War,Scarlett Johansson
Captain America: Civil War,Sebastian Stan
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Hugo Weaving
Captain America: The First Avenger,Samuel L. Jackson
Captain America: The First Avenger,Hayley Atwell
Captain America: The Winter Soldier,Chris Evans
Captain America: The Winter Soldier,Samuel L. Jackson
Captain America: The Winter Soldier,Scarlett Johansson
Captain America: The Winter Soldier,Robert Redford
Captain Fantastic,Viggo Mortensen
Captain Fantastic,George MacKay
Captain Fantastic,Samantha Isler
Captain Fantastic,Annalise Basso
Captain Phillips,Tom Hanks
Captain Phillips,Barkhad Abdi
Captain Phillips,Barkhad Abdirahman
Captain Phillips,Catherine Keener
Carol,Cate Blanchett
Carol,Rooney Mara
Carol,Sarah Paulson
Carol,Kyle Chandler
Carrie,Chlo�� Grace Moretz
Carrie,Julianne Moore
Carrie,Gabriella Wilde
Carrie,Portia Doubleday
Cars,Owen Wilson
Cars,Bonnie Hunt
Cars,Paul Newman
Cars,Larry the Cable Guy
Cars 2,Owen Wilson
Cars 2,Larry the Cable Guy
Cars 2,Michael Caine
Cars 2,Emily Mortimer
Casino Royale,Daniel Craig
Casino Royale,Eva Green
Casino Royale,Judi Dench
Casino Royale,Jeffrey Wright
Central Intelligence,Dwayne Johnson
Central Intelligence,Kevin Hart
Central Intelligence,Danielle Nicolet
Central Intelligence,Amy Ryan
Centurion,Michael Fassbender
Centurion,Dominic West
Centurion,Olga Kurylenko
Centurion,Andreas Wisniewski
Chalk It Up,Maddy Curley
Chalk It Up,John DeLuca
Chalk It Up,Nikki SooHoo
Chalk It Up,Drew Seeley
Changeling,Angelina Jolie
Changeling,Colm Feore
Changeling,Amy Ryan
Changeling,Gattlin Griffith
Chappie,Sharlto Copley
Chappie,Dev Patel
Chappie,Hugh Jackman
Chappie,Sigourney Weaver
Chef,Jon Favreau
Chef,Robert Downey Jr.
Chef,Scarlett Johansson
Chef,Dustin Hoffman
Child 44,Tom Hardy
Child 44,Gary Oldman
Child 44,Noomi Rapace
Child 44,Joel Kinnaman
Children of Men,Julianne Moore
Children of Men,Clive Owen
Children of Men,Chiwetel Ejiofor
Children of Men,Michael Caine
Christine,Rebecca Hall
Christine,Michael C. Hall
Christine,Tracy Letts
Christine,Maria Dizzia
Chuck,Elisabeth Moss
Chuck,Naomi Watts
Chuck,Ron Perlman
Chuck,Liev Schreiber
Cinderella,Lily James
Cinderella,Cate Blanchett
Cinderella,Richard Madden
Cinderella,Helena Bonham Carter
City of Tiny Lights,Riz Ahmed
City of Tiny Lights,Billie Piper
City of Tiny Lights,James Floyd
City of Tiny Lights,Cush Jumbo
Clash of the Titans,Sam Worthington
Clash of the Titans,Liam Neeson
Clash of the Titans,Ralph Fiennes
Clash of the Titans,Jason Flemyng
Closed Circuit,Eric Bana
Closed Circuit,Rebecca Hall
Closed Circuit,Jim Broadbent
Closed Circuit,Ciar��n Hinds
Cloud Atlas,Tom Hanks
Cloud Atlas,Halle Berry
Cloud Atlas,Hugh Grant
Cloud Atlas,Hugo Weaving
Cloverfield,Mike Vogel
Cloverfield,Jessica Lucas
Cloverfield,Lizzy Caplan
Cloverfield,T.J. Miller
Clown,Andy Powers
Clown,Laura Allen
Clown,Peter Stormare
Clown,Christian Distefano
Coherence,Emily Baldoni
Coherence,Maury Sterling
Coherence,Nicholas Brendon
Coherence,Elizabeth Gracen
Collateral Beauty,Will Smith
Collateral Beauty,Edward Norton
Collateral Beauty,Kate Winslet
Collateral Beauty,Michael Pe̱a
Collide,Nicholas Hoult
Collide,Felicity Jones
Collide,Anthony Hopkins
Collide,Ben Kingsley
Colonia,Emma Watson
Colonia,Daniel Br�_hl
Colonia,Michael Nyqvist
Colonia,Richenda Carey
Colossal,Anne Hathaway
Colossal,Jason Sudeikis
Colossal,Austin Stowell
Colossal,Tim Blake Nelson
Conan the Barbarian,Jason Momoa
Conan the Barbarian,Ron Perlman
Conan the Barbarian,Rose McGowan
Conan the Barbarian,Stephen Lang
Concussion,Will Smith
Concussion,Alec Baldwin
Concussion,Albert Brooks
Concussion,David Morse
Contagion,Matt Damon
Contagion,Kate Winslet
Contagion,Jude Law
Contagion,Gwyneth Paltrow
Contratiempo,Mario Casas
Contratiempo,Ana Wagener
Contratiempo,Jos̩ Coronado
Contratiempo,B��rbara Lennie
Coraline,Dakota Fanning
Coraline,Teri Hatcher
Coraline,John Hodgman
Coraline,Jennifer Saunders
Couples Retreat,Vince Vaughn
Couples Retreat,Malin Akerman
Couples Retreat,Jon Favreau
Couples Retreat,Jason Bateman
Crawlspace,Michael Vartan
Crawlspace,Erin Moriarty
Crawlspace,Nadine Velazquez
Crawlspace,Ronnie Gene Blevins
"Crazy, Stupid, Love.",Steve Carell
"Crazy, Stupid, Love.",Ryan Gosling
"Crazy, Stupid, Love.",Julianne Moore
"Crazy, Stupid, Love.",Emma Stone
Creed,Michael B. Jordan
Creed,Sylvester Stallone
Creed,Tessa Thompson
Creed,Phylicia Rashad
Criminal,Kevin Costner
Criminal,Ryan Reynolds
Criminal,Gal Gadot
Criminal,Gary Oldman
Crimson Peak,Mia Wasikowska
Crimson Peak,Jessica Chastain
Crimson Peak,Tom Hiddleston
Crimson Peak,Charlie Hunnam
Custody,Viola Davis
Custody,Hayden Panettiere
Custody,Catalina Sandino Moreno
Custody,Ellen Burstyn
Daddy's Home,Will Ferrell
Daddy's Home,Mark Wahlberg
Daddy's Home,Linda Cardellini
Daddy's Home,Thomas Haden Church
Dallas Buyers Club,Matthew McConaughey
Dallas Buyers Club,Jennifer Garner
Dallas Buyers Club,Jared Leto
Dallas Buyers Club,Steve Zahn
Dangal,Aamir Khan
Dangal,Sakshi Tanwar
Dangal,Fatima Sana Shaikh
Dangal,Sanya Malhotra
Dark Places,Charlize Theron
Dark Places,Nicholas Hoult
Dark Places,Christina Hendricks
Dark Places,Chlo�� Grace Moretz
Dark Shadows,Johnny Depp
Dark Shadows,Michelle Pfeiffer
Dark Shadows,Eva Green
Dark Shadows,Helena Bonham Carter
Dawn of the Planet of the Apes,Gary Oldman
Dawn of the Planet of the Apes,Keri Russell
Dawn of the Planet of the Apes,Andy Serkis
Dawn of the Planet of the Apes,Kodi Smit-McPhee
Dead Awake,Jocelin Donahue
Dead Awake,Jesse Bradford
Dead Awake,Jesse Borrego
Dead Awake,Lori Petty
Deadpool,Ryan Reynolds
Deadpool,Morena Baccarin
Deadpool,T.J. Miller
Deadpool,Ed Skrein
Dear White People,Tyler James Williams
Dear White People,Tessa Thompson
Dear White People,Kyle Gallner
Dear White People,Teyonah Parris
Dear Zindagi,Alia Bhatt
Dear Zindagi,Shah Rukh Khan
Dear Zindagi,Kunal Kapoor
Dear Zindagi,Priyanka Moodley
Death Proof,Kurt Russell
Death Proof,Zo�� Bell
Death Proof,Rosario Dawson
Death Proof,Vanessa Ferlito
Death Race,Jason Statham
Death Race,Joan Allen
Death Race,Tyrese Gibson
Death Race,Ian McShane
Deepwater Horizon,Mark Wahlberg
Deepwater Horizon,Kurt Russell
Deepwater Horizon,Douglas M. Griffin
Deepwater Horizon,James DuMont
Deja Vu,Denzel Washington
Deja Vu,Paula Patton
Deja Vu,Jim Caviezel
Deja Vu,Val Kilmer
Demain tout commence,Omar Sy
Demain tout commence,Cl̩mence Po̩sy
Demain tout commence,Antoine Bertrand
Demain tout commence,Ashley Walters
Demolition,Jake Gyllenhaal
Demolition,Naomi Watts
Demolition,Chris Cooper
Demolition,Judah Lewis
Denial,Rachel Weisz
Denial,Tom Wilkinson
Denial,Timothy Spall
Denial,Andrew Scott
Despicable Me,Steve Carell
Despicable Me,Jason Segel
Despicable Me,Russell Brand
Despicable Me,Julie Andrews
Despicable Me 2,Steve Carell
Despicable Me 2,Kristen Wiig
Despicable Me 2,Benjamin Bratt
Despicable Me 2,Miranda Cosgrove
Detour,Tye Sheridan
Detour,Emory Cohen
Detour,Bel Powley
Detour,Stephen Moyer
Deuces,Larenz Tate
Deuces,Meagan Good
Deuces,Rotimi
Deuces,Rick Gonzalez
Devil's Knot,Colin Firth
Devil's Knot,Reese Witherspoon
Devil's Knot,Alessandro Nivola
Devil's Knot,James Hamrick
Diary of a Wimpy Kid,Zachary Gordon
Diary of a Wimpy Kid,Robert Capron
Diary of a Wimpy Kid,Rachael Harris
Diary of a Wimpy Kid,Steve Zahn
Diary of a Wimpy Kid: Dog Days,Zachary Gordon
Diary of a Wimpy Kid: Dog Days,Robert Capron
Diary of a Wimpy Kid: Dog Days,Devon Bostick
Diary of a Wimpy Kid: Dog Days,Steve Zahn
Diary of a Wimpy Kid: Rodrick Rules,Zachary Gordon
Diary of a Wimpy Kid: Rodrick Rules,Devon Bostick
Diary of a Wimpy Kid: Rodrick Rules,Robert Capron
Diary of a Wimpy Kid: Rodrick Rules,Rachael Harris
Dirty Grandpa,Robert De Niro
Dirty Grandpa,Zac Efron
Dirty Grandpa,Zoey Deutch
Dirty Grandpa,Aubrey Plaza
Disaster Movie,Carmen Electra
Disaster Movie,Vanessa Lachey
Disaster Movie,Nicole Parker
Disaster Movie,Matt Lanter
District 9,Sharlto Copley
District 9,David James
District 9,Jason Cope
District 9,Nathalie Boltt
Disturbia,Shia LaBeouf
Disturbia,David Morse
Disturbia,Carrie-Anne Moss
Disturbia,Sarah Roemer
Divergent,Shailene Woodley
Divergent,Theo James
Divergent,Kate Winslet
Divergent,Jai Courtney
Django Unchained,Jamie Foxx
Django Unchained,Christoph Waltz
Django Unchained,Leonardo DiCaprio
Django Unchained,Kerry Washington
Doctor Strange,Benedict Cumberbatch
Doctor Strange,Chiwetel Ejiofor
Doctor Strange,Rachel McAdams
Doctor Strange,Benedict Wong
Don Jon,Joseph Gordon-Levitt
Don Jon,Scarlett Johansson
Don Jon,Julianne Moore
Don Jon,Tony Danza
Don't Breathe,Stephen Lang
Don't Breathe,Jane Levy
Don't Breathe,Dylan Minnette
Don't Breathe,Daniel Zovatto
Don't Fuck in the Woods,Brittany Blanton
Don't Fuck in the Woods,Ayse Howard
Don't Fuck in the Woods,Roman Jossart
Don't Fuck in the Woods,Nadia White
Don't Think Twice,Keegan-Michael Key
Don't Think Twice,Gillian Jacobs
Don't Think Twice,Mike Birbiglia
Don't Think Twice,Chris Gethard
Dope,Shameik Moore
Dope,Tony Revolori
Dope,Kiersey Clemons
Dope,Kimberly Elise
Dracula Untold,Luke Evans
Dracula Untold,Dominic Cooper
Dracula Untold,Sarah Gadon
Dracula Untold,Art Parkinson
Dragonball Evolution,Justin Chatwin
Dragonball Evolution,James Marsters
Dragonball Evolution,Yun-Fat Chow
Dragonball Evolution,Emmy Rossum
Dredd,Karl Urban
Dredd,Olivia Thirlby
Dredd,Lena Headey
Dredd,Rachel Wood
Drive,Ryan Gosling
Drive,Carey Mulligan
Drive,Bryan Cranston
Drive,Albert Brooks
Eagle Eye,Shia LaBeouf
Eagle Eye,Michelle Monaghan
Eagle Eye,Rosario Dawson
Eagle Eye,Michael Chiklis
Eastern Promises,Naomi Watts
Eastern Promises,Viggo Mortensen
Eastern Promises,Armin Mueller-Stahl
Eastern Promises,Josef Altin
Easy A,Emma Stone
Easy A,Amanda Bynes
Easy A,Penn Badgley
Easy A,Dan Byrd
Eddie the Eagle,Taron Egerton
Eddie the Eagle,Hugh Jackman
Eddie the Eagle,Tom Costello
Eddie the Eagle,Jo Hartley
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Emily Blunt
Edge of Tomorrow,Bill Paxton
Edge of Tomorrow,Brendan Gleeson
El secreto de sus ojos,Ricardo Dar�_n
El secreto de sus ojos,Soledad Villamil
El secreto de sus ojos,Pablo Rago
El secreto de sus ojos,Carla Quevedo
Elle,Isabelle Huppert
