Id,Label
Action,Action
Adventure,Adventure
Animation,Animation
Biography,Biography
Comedy,Comedy
Crime,Crime
Drama,Drama
Family,Family
Fantasy,Fantasy
History,History
Horror,Horror
Music,Music
Musical,Musical
Mystery,Mystery
Romance,Romance
Sci-Fi,Sci-Fi
Sport,Sport
Thriller,Thriller
War,War
Western,Western
