Id,Label
Jemaine Clement,Jemaine Clement
Jennifer Kent,Jennifer Kent
Jeremy Saulnier,Jeremy Saulnier
Jim Field Smith,Jim Field Smith
Jim Mickle,Jim Mickle
Jocelyn Moorhouse,Jocelyn Moorhouse
Joe Carnahan,Joe Carnahan
Joe Johnston,Joe Johnston
Joe Wright,Joe Wright
Joel Edgerton,Joel Edgerton
John Carney,John Carney
John Crowley,John Crowley
John Erick Dowdle,John Erick Dowdle
John Francis Daley,John Francis Daley
John Hillcoat,John Hillcoat
John Lasseter,John Lasseter
John Lee Hancock,John Lee Hancock
John Luessenhop,John Luessenhop
John R. Leonetti,John R. Leonetti
John Wells,John Wells
Jon Favreau,Jon Favreau
Jon Hurwitz,Jon Hurwitz
Jon Kasdan,Jon Kasdan
Jon M. Chu,Jon M. Chu
Jon S. Baird,Jon S. Baird
Jon Watts,Jon Watts
Jonathan Dayton,Jonathan Dayton
Jonathan Glazer,Jonathan Glazer
Jonathan Levine,Jonathan Levine
Jonathan Liebesman,Jonathan Liebesman
Jordan Vogt-Roberts,Jordan Vogt-Roberts
Jorge R. Guti�rrez,Jorge R. Guti�rrez
Joseph Gordon-Levitt,Joseph Gordon-Levitt
Joseph Kosinski,Joseph Kosinski
Josh Boone,Josh Boone
Josh Trank,Josh Trank
Joss Whedon,Joss Whedon
Jos� Padilha,Jos� Padilha
Juan Carlos Fresnadillo,Juan Carlos Fresnadillo
Juan Jos� Campanella,Juan Jos� Campanella
Judd Apatow,Judd Apatow
Julia Leigh,Julia Leigh
Julie Taymor,Julie Taymor
Justin Chadwick,Justin Chadwick
Justin Kurzel,Justin Kurzel
Justin Lin,Justin Lin
Justin Simien,Justin Simien
Karyn Kusama,Karyn Kusama
Kathryn Bigelow,Kathryn Bigelow
Ken Kwapis,Ken Kwapis
Kenneth Branagh,Kenneth Branagh
Kevin Lima,Kevin Lima
Kevin Smith,Kevin Smith
Kimberly Peirce,Kimberly Peirce
Kirk Jones,Kirk Jones
Kirsten Sheridan,Kirsten Sheridan
Kyle Balda,Kyle Balda
Kyle Patrick Alvarez,Kyle Patrick Alvarez
Lana Wachowski,Lana Wachowski
Larry Charles,Larry Charles
Lars von Trier,Lars von Trier
Lasse Hallstr�_m,Lasse Hallstr�_m
Lee Daniels,Lee Daniels
Lee Toland Krieger,Lee Toland Krieger
Lee Unkrich,Lee Unkrich
Len Wiseman,Len Wiseman
Lenny Abrahamson,Lenny Abrahamson
Leslye Headland,Leslye Headland
Levan Gabriadze,Levan Gabriadze
Lone Scherfig,Lone Scherfig
Louis Leterrier,Louis Leterrier
Luc Besson,Luc Besson
Luca Guadagnino,Luca Guadagnino
Luke Greenfield,Luke Greenfield
Lynne Ramsay,Lynne Ramsay
M. Night Shyamalan,M. Night Shyamalan
Marc Forster,Marc Forster
Marc Webb,Marc Webb
Marcus Nispel,Marcus Nispel
Mark Andrews,Mark Andrews
Mark Herman,Mark Herman
Mark Mylod,Mark Mylod
Mark Osborne,Mark Osborne
Mark Steven Johnson,Mark Steven Johnson
Mark Waters,Mark Waters
Martin Campbell,Martin Campbell
Martin McDonagh,Martin McDonagh
Martin Scorsese,Martin Scorsese
Matt Brown,Matt Brown
Matt Reeves,Matt Reeves
Matteo Garrone,Matteo Garrone
Matthew Vaughn,Matthew Vaughn
Max Joseph,Max Joseph
McG,McG
Mel Gibson,Mel Gibson
Michael Bay,Michael Bay
Michael Dowse,Michael Dowse
Michael Goi,Michael Goi
Michael Haneke,Michael Haneke
Michael Hoffman,Michael Hoffman
Michael Mann,Michael Mann
Michael Patrick King,Michael Patrick King
Michael Showalter,Michael Showalter
Michael Spierig,Michael Spierig
Micha��_��_l R. Roskam,Micha��_��_l R. Roskam
Micheal Bafaro,Micheal Bafaro
Miguel Arteta,Miguel Arteta
Mikael H�fstr�_m,Mikael H�fstr�_m
Mike Cahill,Mike Cahill
Mike Flanagan,Mike Flanagan
Mike Judge,Mike Judge
Mike Newell,Mike Newell
Mora Stephens,Mora Stephens
Morten Tyldum,Morten Tyldum
M�ns M�rlind,M�ns M�rlind
Nancy Meyers,Nancy Meyers
Nathan Greno,Nathan Greno
Neil Burger,Neil Burger
Neil Marshall,Neil Marshall
Neill Blomkamp,Neill Blomkamp
Nicholas Stoller,Nicholas Stoller
Nick Cassavetes,Nick Cassavetes
Nicolas Winding Refn,Nicolas Winding Refn
Niels Arden Oplev,Niels Arden Oplev
Nima Nourizadeh,Nima Nourizadeh
Nimr��__d Antal,Nimr��__d Antal
Noam Murro,Noam Murro
Oliver Stone,Oliver Stone
Olivier Megaton,Olivier Megaton
Olivier Nakache,Olivier Nakache
Oz Perkins,Oz Perkins
Paco Cabezas,Paco Cabezas
Paolo Sorrentino,Paolo Sorrentino
Pascal Laugier,Pascal Laugier
Patricia Rozema,Patricia Rozema
Patrick Hughes,Patrick Hughes
Patrick Read Johnson,Patrick Read Johnson
Patrick Tatopoulos,Patrick Tatopoulos
Paul Feig,Paul Feig
Paul Greengrass,Paul Greengrass
Paul McGuigan,Paul McGuigan
Paul Thomas Anderson,Paul Thomas Anderson
Paul W.S. Anderson,Paul W.S. Anderson
Pedro Almod��__var,Pedro Almod��__var
Pete Docter,Pete Docter
Pete Travis,Pete Travis
Peter Berg,Peter Berg
Peter Billingsley,Peter Billingsley
Peter Jackson,Peter Jackson
Peter Landesman,Peter Landesman
Peyton Reed,Peyton Reed
Phil Lord,Phil Lord
Phillip Noyce,Phillip Noyce
Phyllida Lloyd,Phyllida Lloyd
Pierre Coffin,Pierre Coffin
Pierre Morel,Pierre Morel
